id,cheerSlogan,language
0,Tifo_1|Tifo_2|Tifo_3|Tifo_4|Tifo_5|Tifo_6|Tifo_7|Tifo_8|Tifo_9|Tifo_10|Tifo_11|Tifo_12|Tifo_13|Tifo_14|Tifo_15,
20126,REKORDMEISTER|FÜR IMMER NUMMER EINS|DEUTSCHER MEISTER|STERN DES SÜDENS|TRADITION HAT ZUKUNFT|MIA SAN MIA,DE
20127,ECHTE LIEBE|GELBE WAND|NIEMALS ALLEIN|SCHWARZ-GELB|ECHTE TREUE,DE
20128,"GEMEINSAM SIND WIR STARK|EINE STADT, EIN TEAM, EIN TRAUM|UNSER WEG, UNSERE STADT, UNSER VEREIN|AUFSTIEG DURCH LEIDENSCHAFT|IMMER WEITER, IMMER VORAN",DE
20129,"WERKSELF|LEIDENSCHAFT, DIE VERBINDET|NUR ZUSAMMEN SIND WIR STARK|IN GUTEN WIE IN SCHLECHTEN ZEITEN|STOLZ UND TREUE",DE
20026,PRIDE IN BATTLE|WE’RE NOT REALLY HERE|SUPERBIA IN PROELIO|CHAMPIONS AGAIN|THE CITIZENS,EN
20027,YOU'LL NEVER WALK ALONE|THIS MEANS MORE|REDMEN|5 TIMES|SCOUSE SOLIDARITY,EN
20028,KEEP THE BLUE FLAG FLYING HIGH|PRIDE OF LONDON|CHAMPIONS OF EUROPE|KTBFFH|BLUE ARMY,EN
20029,"TO DARE IS TO DO|YID ARMY|THE PRIDE OF NORTH LONDON|LILYWHITES|LOYAL, PROUD, TRUE",EN
20030,VICTORIA CONCORDIA CRESCIT|GUNNERS FOR LIFE|RED ARMY|COME ON YOU GUNNERS|BY FAR THE GREATEST TEAM|NORTH LONDON FOREVER,EN
20031,"20 TIMES|PRIDE OF MANCHESTER|MANCHESTER IS RED|WE ARE THE RED DEVILS|THEATRE OF DREAMS|ONCE A RED, ALWAYS A RED",EN
20051,ICI C'EST PARIS|PARIS EST MAGIQUE|TOUS ENSEMBLE|LA VILLE LUMIÈRE|SANG BLEU ET ROUGE,FR
20055,"DROIT AU BUT|MARSEILLE, ON T'AIME|NOUS SOMMES LES MARSEILLAIS|LA BONNE MÈRE VEILLE SUR NOUS|MARSEILLE EST UNE FÊTE",FR
20076,FINO ALLA FINE|LA VECCHIA SIGNORA|NON TI LASCEREMO MAI|NESSUNO CI PUÒ FERMARE|IL PASSATO È PRESENTE|NOI SIAMO LA STORIA,IT
20077,LA FEDE NON RETROCEDE|NOI SIAMO NAPOLI|O SURDATO 'NNAMMURATO|MAI UNA GIOIA|VESUVIO LAVALI COL FUOCO,IT
20078,AMALA|SEMPRE CON TE|LA STORIA SIAMO NOI|MILANO SIAMO NOI|NERAZZURRI PER SEMPRE|NON MOLLARE MAI,IT
20080,"FORZA MILAN|ROSSONERI PER SEMPRE|UNA SQUADRA, UNA FEDE|DIAVOLO PER SEMPRE|SOLO PER TE|CAMPIONI PER SEMPRE",IT
20081,"ROMA, ROMA, ROMA|MAI SOLA MAI|UNICO GRANDE AMORE|ROMA E BASTA|AVANTI ROMA|CON TE SEMPRE",IT
20101,MÉS QUE UN CLUB|TOTS UNITS FEM FORÇA|ORGULL BLAUGRANA|SEMPRE AMB TU|CATALUNYA ÉS BLAUGRANA|SOM-HI NOIS,ES
20102,"HALA MADRID|MADRIDISMO ETERNO|UN CLUB, UNA LEYENDA|JUNTOS SOMOS INVENCIBLES|BLANCOS HASTA LA MUERTE|EL CORAZÓN DE ESPAÑA",ES
20103,NUNCA DEJES DE CREER|CORAJE Y CORAZÓN|SIEMPRE CONTIGO|EL PUPAS|SENTIMIENTO ROJIBLANCO|PASIÓN POR LOS COLORES,ES
20002,"O MAIS QUERIDO|RAÇA, AMOR E PAIXÃO|NAÇÃO RUBRO-NEGRA|VENCER, VENCER, VENCER|MAIOR DO MUNDO|NADA PODE NOS PARAR",PT
20003,O ORGULHO DO BRASIL|LUTAMOS JUNTOS|É CAMPEÃO|FAZENDO HISTÓRIA|NOSSO AMOR É ETERNO|NADA PODE NOS PARAR,PT
20005,"AMO ESTE TIME|A FORÇA DA FIEL|NOSSO AMOR É IMENSO|NO NOSSO CORAÇÃO, SEMPRE|SOMOS CAMPEÕES|FIEL ATÉ O FIM",PT
20009,"AMO ESTE TIME|O MAIOR DO BRASIL|PEIXE, MEU AMOR|FAZENDO HISTÓRIA|O PEIXE É GIGANTE|FORÇA PEIXE",PT
20012,VAMOS SÃO PAULO|SÃO PAULO É NOSSA VIDA|SEMPRE SÃO PAULO|O TRICOLOR É IMBATÍVEL|COM VOCÊ ATÉ O FIM|ETERNO TRICOLOR,PT
20151,YO TE ALIENTO DESDE LA CUNA|SIEMPRE CONTIGO|EL ORGULLO DE LA ARGENTINA|LA PASIÓN NO SE NEGOCIA|JUNTOS HASTA EL FINAL|QUE NO PARE LA FIESTA,ES
20152,"LA BANDA MÁS LOCA|LA CAMISETA MÁS HERMOSA|LOS BORRACHOS DEL TABLÓN|A GANAR, SIEMPRE A GANAR|LA PASIÓN NO TIENE FRONTERAS|SIEMPRE ALENTANDO AL MÁS GRANDE",ES
