id,en,fr,it,de,es,ja,pt,ru,zh_cn,zh_tw,zh_hk,ko,ar,nl,tr,id,th,vi,en_gb,fa,pl,sv,hi
UTF8_Check^-^,1--------,,,,,,,,用作UTF8检测不要删这行DongYi,,,,,,,,,,,,,,
ok,OK,OK,OK,OK,OK,OK,OK,OK,好的,好的,好的,확인,موافق,OK,OK,OK,ตกลง,OK,,,OK,,
cancel,cancel,annuler,annulla,abbrechen,cancelar,キャンセル,cancelar,отмена,取消,取消,取消,취소,إلغاء,Annuleren,İptal,batal,ยกเลิก,Hủy bỏ,,,anuluj,,
archive_tip,This operation will overwrite the archive,Cette opération va entraîner l'écrasement de l'archive existante,Questa operazione sovrascriverà l'archivio,Mit diesem Vorgang wird das Archiv überschrieben,Esta operación sobrescribirá el archivo,この操作をすると、アーカイブが上書きされます。,Esta operação substituirá o arquivo,Данная операция приведет к перезаписи архива,该操作将覆盖存档,該操作將覆蓋存檔,該操作將覆蓋存檔,이 작업을 진행하면 문서를 덮어쓰게 됩니다,ستؤدي هذه العملية إلى إستبدال الأرشيف,Deze handeling zal het archief overschrijden,Bu işlem arşivin üzerine yazacak.,Operasi ini akan menimpa arsip,การดำเนินการนี้จะแทนที่ไฟล์เก็บถาวร,Thao tác này sẽ ghi đè lên kho lưu trữ,,,Ta czynność spowoduje nadpisanie zapisu,,
cup_round-3,1/64 finals,64e de finale,Sessantaquattresimi di finale,1/64 Finale,Sesentaicuatroavos de final,トップ64決定戦,64ªs de final,1/64 финала,1/64决赛,1/64決賽,1/64決賽,64강,نهائيات 1/64,1/64 finale,1/64 finaller,1/64 final,รอบ 64 ทีมสุดท้าย,1/64 chung kết,,,1/64 finału,,
cup_round-2,1/32 finals,32e de finale,Trentaduesimi di finale,1/32 Finale,Treintaidosavos de final,トップ32決定戦,32ªs de final,1/32 финала,1/32决赛,1/32決賽,1/32決賽,32강,نهائيات 1/32,1/32 finale,1/32 finaller,1/32 final,รอบ 32 ทีมสุดท้าย,1/32 chung kết,,,1/32 finału,,
cup_round-1,1/16 finals,16e de finale,Sedicesimi di finale,1/16 Finale,Dieciseisavos de final,トップ16決定戦,16ªs de final,1/16 финала,1/16决赛,1/16決賽,1/16決賽,16강,نهائيات 1/16,1/16 finale,1/16 finaller,1/16 final,รอบ 16 ทีมสุดท้าย,1/16 chung kết,,,1/16 finału,,
cup_round0,1/8 finals,8e de finale,Ottavi di finale,1/8 Finale,Octavos de final,トップ８決定戦,8ªs de final,1/8 финала,1/8决赛,1/8決賽,1/8決賽,8강,نهائيات 1/8,1/8 finale,1/8 finaller,1/8 final,รอบ 8 ทีมสุดท้าย,1/8 chung kết,,,1/8 finału,,
cup_round1,1/4 finals,Quarts de finale,Quarti di finale,1/4 Finale,Cuartos de final,トップ４決定戦,4ªs de final,1/4 финала,1/4决赛,1/4決賽,1/4決賽,4강,نهائيات 1/4,1/4 finale,1/4 finaller,1/4 final,รอบ 4 ทีมสุดท้าย,1/4 chung kết,,,1/4 finału,,
cup_round2,Semi-final,Demi-finale,Semifinale,Halbfinale,Semifinal,準決勝,Semifinal,Полуфинал,半决赛,半決賽,半決賽,준결승,نصف النهائي,Halve finale,Yarı final,Semifinal,รอบรองชนะเลิศ,Bán kết,,,Półfinały,,
cup_round3,Final,Finale,Finale,Finale,Final,決勝,final,Финал,决赛,總決賽,總決賽,결승,النهائي,Finale,Final,final,รอบชิงชนะเลิศ,Chung kết,,,finał,,
tap_tip,Tap to continue,Touche ici pour continuer,Tocca per continuare,Zum Fortfahren Antippen,Toca para continuar,タップして継続,Toque para continuar,"Нажмите, чтобы продолжить",点击继续,點擊以繼續,點擊以繼續,눌러서 계속하세요,إضغط للمتابعة,Klik om verder te gaan,Devam etmek için dokunun,Ketuk untuk melanjutkan,กดเพื่อดำเนินการต่อ,Bấm để tiếp tục,,,"Dotknij, aby kontynuować",,
select_team_tip,Click to select your team,Touche pour sélectionner ton équipe,Tocca per selezionare la tua squadra,Zum Auswählen Antippen,Toca para seleccionar tu equipo,タップしてチームを選択,Toque para selecionar sua equipe,"Нажмите, чтобы выбрать свою команду",点击选择你的球队,點擊以選擇你的球隊,點擊以選擇你的球隊,눌러서 팀을 선택하세요,أنقر لتحديد فريقك,Klik om je team te selecteren,Takımınızı seçmek için dokunun,Ketuk untuk memilih tim,กดเพื่อเลือกทีมของคุณ,Bấm để chọn đội của bạn,,,"Dotknij, aby wybrać swoją drużynę",,
select_team_confirm,Pick {0}?,Veux-tu vraiment choisir {0}?,Vuoi scegliere {0}?,{0} wählen?,¿Quieres elegir a {0}?,{0}を選択しますか?,Escolher {0}?,Хотите выбрать {0}?,确定选择{0}？,確定選擇 {0}？,確定選擇 {0}？,{0}(을)를 선택하시겠습니까?,هل تريد إختيار {0} ؟,{0} kiezen?,{0} seçecek misin?,Pilih {0}?,เลือก {0}?,Chọn {0}?,,,Wybrać {0}?,,
give_up_match,Quit the match?,Quitter le match?,Vuoi abbandonare la partita?,Die Partie verlassen?,¿Abandonar el partido?,試合を終了しますか？,Sair da partida?,Завершить матч?,退出比赛？,退出比賽？,退出比賽？,매치를 종료하시겠습니까?,هل تريد مغادرة المباراة؟,Wedstrijd beëindigen?,Maçtan çıkmak ister misin?,Keluar dari pertandingan?,ออกจากการแข่งขัน,Thoát khỏi trận đấu?,,,Wyjść z meczu?,,
quit_tip,Quit the game?,Quitter le jeu?,Vuoi uscire dal gioco?,Das Spiel verlassen?,¿Salir del juego?,ゲームを終了しますか？,Sair do jogo?,Выйти из игры?,退出游戏？,退出遊戲？,退出遊戲？,게임을 종료하시겠습니까?,هل تريد مغادرة اللعبة؟,Wedstrijd afbreken?,Oyundan çıkmak ister misin?,Keluar dari permainan?,ออกจากเกม?,Bỏ trận đấu?,,,Wyjść z gry?,,
new_game,NEW GAME,NOUVELLE PARTIE,NUOVA PARTITA,NEUES SPIEL,NUEVO JUEGO,新ゲーム,NOVO JOGO,НОВАЯ ИГРА,新游戏,新遊戲,新遊戲,새 게임,مباراة جديدة,NIEUWE WEDSTRIJD,YENİ OYUN,GAME BARU,เริ่มเกมใหม่,TRẬN ĐẤU MỚI,,,NOWA GRA,,
continue,CONTINUE,CONTINUER,CONTINUA,WEITER,CONTINUAR,継続,CONTINUAR,ПРОДОЛЖИТЬ,继续,繼續,繼續,계속,متابعة,VERDERGAAN,DEVAM ET,LANJUTKAN,ต่อไป,TIẾP TỤC,,,KONTYNUUJ,,
setting,SETTING,RÉGLAGES,IMPOSTAZIONI,EINSTELLUNGEN,CONFIGURACIÓN,設定,CONFIGURAÇÃO,НАСТРОЙКИ,设置,設置,設置,설정,الإعدادات,INSTELLINGEN,AYARLAR,PENGATURAN,ตั้งค่า,CÀI ĐẶT,,,USTAWIENIA,,
choose_team,CHOOSE YOUR TEAM,CHOISIS TON ÉQUIPE,SCEGLI LA TUA SQUADRA,WÄHLE DEIN TEAM,ELIGE TU EQUIPO,チームを選択してください,ESCOLHA SUA EQUIPE,ВЫБЕРИТЕ СЕБЕ КОМАНДУ,选择你的球队,選擇你的球隊,選擇你的球隊,팀을 선택하세요,إختر فريقك,KIES JE TEAM,TAKIMINI SEÇ,PILIH TIM ANDA,เลือกทีมของคุณ,CHỌN ĐỘI CỦA BẠN,,,WYBIERZ SWOJĄ DRUŻYNĘ,,
music,MUSIC,MUSIQUE,MUSICA,MUSIK,MÚSICA,音楽,MÚSICA,МУЗЫКА,音乐,音樂,音樂,음악,موسيقى,MUZIEK,MÜZİK,MUSIK,เพลง,ÂM NHẠC,,,MUZYKA,,
sound,SOUND EFFECT,EFFETS SONORES,EFFETTI SONORI,SOUNDEFFEKT,EFECTOS DE SONIDO,音響,EFEITO SONORO,ЗВУКОВЫЕ ЭФФЕКТ,音效,音效,音效,음향 효과,مؤثرات صوتية,GELUIDSEFFECTEN,SES EFEKTİ,EFEK SUARA,ดนตรีประกอบ,HIỆU ỨNG ÂM THANH,,,EFEKTY DŹWIĘKOWE,,
